label,x,y
1,6.353,118.216
2,11.65,116.383
3,17.387,119.922
4,23.327,116.271
5,29.009,117.75
6,28.978,113.964
7,28.619,111.34
8,24.972,110.367
9,27.399,105.547
10,27.308,99.616
11,31.75,105.155
12,34.207,99.188
13,38.73,99.598
14,38.083,112.205
15,33.483,112.03
16,36.04,105.785
17,44.215,102.62
18,44.65,109.455
19,44.648,112.336
20,42.892,117.967
21,49.325,117.607
22,55.545,117.96
23,61.475,117.72
24,60.924,113.208
25,54.335,110.33
26,59.095,107.185
27,62.338,103.728
28,66.704,102.458
29,67.044,111.933
30,72.011,111.717
31,72.692,102.528
32,78.193,104.136
33,77.841,110.898
34,77.677,119.647
35,81.658,117.477
36,86.224,119.455
37,87.322,110.51
38,87.027,105.175
39,93.705,110.24
40,93.424,118.567
41,102.129,118.276
42,101.476,109.637
43,100.597,100.32
44,92.439,99.197
45,84.269,99.551
46,76.698,99.182
47,77.59,91.97
48,84.092,92.12
49,89.778,91.34
50,95.291,91.814
51,101.436,91.44
,97.448,86.905
,97.482,81.776
,90.197,84.29
,84.196,86.777
,84.455,81.339
,90.674,77.397
,95.854,76.973
,101.235,76.121
,94.583,71.318
,85.905,69.627
,85.324,77.723
,85.722,75.388
,75.038,77.968
,78.578,71.074
,77.875,68.986
,86.463,65.577
,86.947,60.991
,90.509,66.577
,94.856,60.44
,95.274,65.382
,101.355,68.186
,98.751,57.868
,101.577,57.913
,101.746,48.506
,97.59,52.268
,92.519,57.091
,84.948,52.508
,91.374,52.108
,92.117,45.385
,95.657,40.478
,91.753,40.569
,86.025,41.709
,86.662,38.184
,86.338,30.812
,86.136,25.639
