Time,Temp,Humi,Light
2025/5/21 11:08,25.96,59.71,9.8
2025/5/21 11:09,25.86,60.2,13.9
2025/5/21 11:11,25.72,60.14,23.4
2025/5/21 11:12,26.23,59.33,10
2025/5/21 11:13,26.62,57.62,23.2
2025/5/21 11:14,26.81,57.26,12.2
2025/5/21 11:23,27.47,55.89,10.6
2025/5/21 11:24,27.49,55.68,31.5
2025/5/21 11:25,27.48,55.67,37.5
2025/5/21 11:27,27.49,54.79,22.5
2025/5/21 11:28,27.47,55.63,10.1
2025/5/21 11:29,27.41,55.75,23.1
2025/5/21 11:30,27.33,55.84,35.2
2025/5/21 11:32,27.31,56.41,43.1
2025/5/21 11:33,27.27,57.05,65.3
2025/5/21 11:35,27.11,56.71,20.2
2025/5/21 11:37,27.03,57.19,7.2
2025/5/21 11:38,27.03,57.27,19.2
2025/5/21 11:39,27.01,57.35,59.3
2025/5/21 11:40,27.11,57.23,20.8
2025/5/21 11:41,27.16,57.2,56.2
2025/5/21 11:42,27.17,57.04,53.1
2025/5/21 11:43,27.16,57.28,30.8
2025/5/21 11:45,27.09,57.58,34.6
2025/5/21 11:46,27.1,57.63,13.6
2025/5/21 11:47,27.04,57.01,76.1
2025/5/21 11:48,27.11,57.6,45.8
2025/5/21 11:49,27.06,57.98,64.2
2025/5/21 11:51,27.14,57.78,28.9
2025/5/21 11:52,27.17,57.4,32.5
2025/5/21 11:53,27.18,57.52,79.7
2025/5/21 11:54,27.17,58.85,8.2
2025/5/21 11:56,27.18,58.01,62.6
2025/5/21 11:57,27.34,58.1,106.1
2025/5/21 11:58,27.47,57.37,122.9
2025/5/21 11:59,27.49,57.34,18.2
2025/5/21 12:01,27.45,57.45,3.1
2025/5/22 12:02,27.38,57.66,2.6
2025/5/23 12:03,27.41,57.64,9.9
2025/5/23 12:04,27.51,57.38,0.8
2025/5/23 12:05,27.51,57.24,7.7
2025/5/23 12:06,27.55,57.32,3.8
2025/5/23 12:07,27.45,57.68,13.8
2025/5/23 12:09,27.49,57.99,71.2
2025/5/23 12:10,27.42,58.16,28.6
2025/5/23 12:11,27.48,58.14,1.7
2025/5/23 12:12,27.42,58.25,0.6
2025/5/23 12:13,27.51,58.7,3.9
2025/5/23 12:14,27.63,58.46,74.4
2025/5/23 12:16,27.56,57.93,193.3
2025/5/23 12:17,27.42,58.51,28.8
2025/5/23 12:18,27.33,58.81,20.4
2025/5/23 12:20,27.28,57.64,60.3
2025/5/23 12:21,27.27,57.57,5.5
2025/5/23 12:22,27.16,56.53,23.9
2025/5/23 12:23,27.07,58.71,38.6
2025/5/23 12:24,27.1,54.84,132.5
2025/5/21 15:31,27.4,63.14,10.9
2025/5/21 15:32,27.47,62.8,13.1
2025/5/21 15:33,27.54,62.56,20.9
2025/5/21 15:34,27.62,62.67,9.8
2025/5/21 15:35,27.71,61.85,32.5
2025/5/21 15:36,27.71,61.86,12.2
2025/5/22 15:38,27.58,62.89,10.7
2025/5/23 15:39,27.59,62.23,23
2025/5/21 15:40,27.54,62.31,37.5
2025/5/21 15:42,27.54,62.57,20.6
2025/5/21 15:44,27.13,63.8,9.5
2025/5/21 15:45,27.14,64.3,24.1
2025/5/21 15:46,27.23,63.4,33.2
2025/5/21 15:47,27.27,64.39,41.9
2025/5/21 15:48,27.37,64.17,59.7
2025/5/21 15:50,27.01,64.38,20.8
2025/5/21 15:51,26.81,65.47,8
2025/5/21 15:52,26.69,65.29,17.8
2025/5/21 15:53,26.51,66.42,51.9
2025/5/21 15:54,26.41,66.46,23
2025/5/21 15:55,26.46,66.2,53.9
2025/5/21 15:56,26.31,66.16,58.1
2025/5/21 15:58,26.3,66.33,31.4
2025/5/21 15:59,26.13,67.09,36.8
2025/5/21 16:00,26.16,66.9,12.8
2025/5/21 16:18,25.16,70.31,68.7
2025/5/21 16:19,25.44,69.89,9.13
2025/5/21 16:21,25.82,68.53,67.5
2025/5/21 16:22,25.94,69.49,29.3
2025/5/21 16:23,26.07,68.52,30.9
2025/5/21 16:24,26.11,68.32,78.1
2025/5/21 16:25,26.16,69.17,8.9
2025/5/21 16:27,26.28,67.26,15.5
2025/5/21 16:28,26.39,68.11,53.1
2025/5/21 16:29,26.44,67.94,75.7
2025/5/21 16:31,26.48,67.88,15.1
2025/5/21 16:32,26.62,67.45,3.2
2025/5/21 16:33,26.65,67.68,3.1
2025/5/21 16:34,26.75,67.37,8.9
2025/5/21 16:35,26.49,67.98,0.7
2025/5/21 16:36,26.44,68.51,0
2025/5/21 16:37,26.44,68.02,0
2025/5/21 16:39,26.31,68.75,12.4
2025/5/21 16:40,26.35,68.76,71.3
2025/5/21 16:41,26.48,68.41,29.5
2025/5/21 16:42,26.45,68.57,1.5
2025/5/21 16:43,26.37,68.88,8.4
2025/5/21 16:44,26.46,68.56,2.7
2025/5/21 16:45,26.38,68.34,69.9
2025/5/22 15:56,25.03,50.81,6.3
2025/5/22 15:57,24.97,50.73,12.6
2025/5/22 15:58,25.34,49.96,20.4
2025/5/22 15:59,25.58,49,9.7
2025/5/22 16:00,25.66,48.65,36.7
2025/5/22 16:01,25.69,48.88,12.8
2025/5/22 16:02,25.8,48.23,10.7
2025/5/22 16:03,25.59,48.04,20.7
2025/5/22 16:04,25.72,48.08,34.9
2025/5/22 16:06,25.65,49.75,21.5
2025/5/22 16:07,25.76,47.28,10
2025/5/22 16:08,25.89,46.84,22.7
2025/5/22 16:09,25.73,47.23,34.9
2025/5/22 16:10,25.71,47.02,43.4
2025/5/22 16:11,25.72,47.35,59.2
2025/5/22 16:13,25.77,46.85,20.1
2025/5/22 16:14,25.79,46.9,7.9
2025/5/22 16:15,25.73,46.94,152
2025/5/22 16:16,25.76,46.73,48.7
2025/5/22 16:17,25.8,46.64,20.9
2025/5/22 16:18,25.83,26.71,59.3
2025/5/22 16:20,25.92,46.41,45.8
2025/5/22 16:21,25.93,46.5,26.8
2025/5/22 16:22,25.93,46.46,37
2025/5/22 16:23,25.96,46.36,12.7
2025/5/22 16:24,26.04,46.65,80.7
2025/5/22 16:25,25.96,46.68,46
2025/5/22 16:27,25.83,47.11,64.9
2025/5/22 16:28,25.92,47.78,31.1
2025/5/22 16:29,25.96,46.84,32
2025/5/22 16:30,25.92,46.77,79.6
2025/5/22 16:32,25.94,44.88,9.4
2025/5/22 16:33,25.93,47.78,61.6
2025/5/22 16:34,25.97,48.3,53.4
2025/5/22 16:35,25.86,48.5,74.4
2025/5/22 16:37,25.71,49.72,18.8
2025/5/22 16:38,25.75,49.22,6.9
2025/5/22 16:39,25.86,49.23,2.3
2025/5/22 16:40,25.97,49.02,8.5
2025/5/22 16:41,26,49.02,0.5
2025/5/22 16:42,26.07,49.14,15.5
2025/5/22 16:43,25.97,49.25,3.2
2025/5/22 16:44,25.31,50.56,13.6
2025/5/22 16:46,25.32,50.74,71.1
2025/5/22 16:47,25.06,51.49,28.3
2025/5/22 16:48,25.06,51.58,1.4
2025/5/22 16:49,25.01,51.73,0.05
2025/5/22 16:50,24.49,53.1,0.8
2025/5/22 16:51,23.13,56.86,68.8
2025/5/22 16:53,23.46,57.36,163.5
2025/5/22 16:55,23.85,55.4,259
2025/5/22 16:56,23.94,54.74,97.9
2025/5/22 16:57,24.15,53.93,568
2025/5/22 16:58,24.21,53.79,4.9
2025/5/22 16:59,24.43,53.09,238
2025/5/22 17:00,24.55,52.95,388
2025/5/22 17:01,24.67,52.52,132.2
2025/5/23 11:26,24.35,50.73,10.1
2025/5/23 11:27,24.59,49.58,14.2
2025/5/23 11:28,24.55,49.74,20.3
2025/5/23 11:29,24.7,49.27,9.5
2025/5/23 11:30,24.79,48.94,38.3
2025/5/23 11:31,24.83,48.42,11.1
2025/5/23 11:33,24.91,47.86,10.3
2025/5/23 11:34,24.7,48.02,27.9
2025/5/23 11:35,24.77,49.92,37.7
2025/5/23 11:36,24.75,50.37,23.8
2025/5/23 11:37,24.93,47.94,10.5
2025/5/23 11:39,24.94,47.34,22.7
2025/5/23 11:40,24.83,47.46,35.4
