Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 14:57:53,27.02 ,93.01 ,17.3,25,545,827,15,15,11,74
2025-01-03 14:59:40,28.05 ,87.29 ,17.3,25,736,836,14,13,9,73.9
2025-01-03 15:01:33,23.71 ,81.43 ,17.3,25,524,840,14,11,9,74.9
2025-01-03 15:03:27,25.66 ,75.43 ,17.2,25,574,845,14,12,9,74
2025-01-03 15:05:30,22.06 ,67.10 ,17.1,25,394,839,15,14,9,74.5
2025-01-03 15:07:26,23.98 ,61.03 ,17.1,25,492,838,14,12,10,73.3
2025-01-03 15:15:49,37.61 ,82.77 ,16.9,26,179,812,15,14,11,75.5
2025-01-03 15:17:46,38.82 ,88.74 ,16.9,26,210,813,20,14,10,73.9
2025-01-03 15:22:20,45.48 ,107.74 ,16.9,26,192,803,21,18,14,75.6
2025-01-03 15:24:20,47.97 ,114.30 ,16.9,26,270,800,25,23,16,75
2025-01-03 15:26:13,42.03 ,114.65 ,16.9,26,206,806,22,16,12,75.4
2025-01-03 15:28:12,34.06 ,113.39 ,16.9,26,92,814,30,22,16,75
