Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-05 14:26:06,25.68 ,75.43 ,17.3,27,560,880,38,30,20,72.5
2025-01-05 14:28:21,22.03 ,67.13 ,17.2,27,379,885,26,23,17,71.4
2025-01-05 14:30:13,19.53 ,60.57 ,17.3,27,561,886,32,25,18,73.4
2025-01-05 14:33:16,25.61 ,62.52 ,17.3,27,614,887,32,28,18,72.7
2025-01-05 14:35:15,33.76 ,59.89 ,17.2,27,175,884,33,25,18,72.9
2025-01-05 14:40:29,32.58 ,67.81 ,17,27,144,866,40,31,20,73.5
2025-01-05 14:46:35,42.72 ,100.23 ,17.1,27,251,865,27,25,20,75.7
2025-01-05 14:48:42,45.84 ,108.70 ,17.2,27,252,869,26,22,17,74.5
2025-01-05 14:50:48,42.03 ,114.63 ,17.2,27,217,867,32,28,18,74.2
2025-01-05 14:52:49,36.56 ,119.92 ,17.2,27,92,858,31,25,19,73.1
2025-01-05 14:54:40,34.07 ,113.42 ,17.2,26,68,851,23,22,16,74.6
